IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.184.72,4,4,0.00,177.73,17.57
104.25.246.23,4,4,0.00,177.71,15.78
104.25.123.82,4,4,0.00,177.85,13.96
172.67.89.41,4,4,0.00,177.15,13.39
104.22.13.16,4,4,0.00,177.95,10.52
172.67.22.87,4,4,0.00,177.40,0.00
198.41.193.229,4,4,0.00,174.17,0.00
173.245.58.222,4,4,0.00,174.35,0.00
172.64.135.15,4,4,0.00,175.94,0.00
104.21.83.209,4,4,0.00,176.86,0.00
