IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.21.232.39,4,4,0.00,147.31,17.27
104.16.27.60,4,4,0.00,159.42,16.49
104.21.228.162,4,4,0.00,147.89,14.88
104.19.211.67,4,4,0.00,159.23,13.42
104.19.210.154,4,4,0.00,156.36,13.11
104.21.231.175,4,4,0.00,157.05,11.99
104.18.196.63,4,4,0.00,160.27,9.90
104.18.146.24,4,4,0.00,159.15,9.19
104.17.182.51,4,4,0.00,158.73,6.73
104.18.157.83,4,4,0.00,158.96,5.58
