IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.24.69.152,4,4,0.00,184.18,15.25
104.24.232.144,4,4,0.00,181.85,13.51
172.67.51.251,4,4,0.00,182.82,9.63
104.22.16.134,4,4,0.00,181.86,8.20
104.25.78.139,4,4,0.00,177.26,7.85
162.159.32.126,4,4,0.00,181.79,5.98
104.24.214.219,4,4,0.00,183.83,3.88
104.22.34.141,4,4,0.00,183.94,0.00
172.67.149.167,4,4,0.00,184.06,0.00
104.25.55.181,4,4,0.00,184.28,0.00
