IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.129.190,4,4,0.00,145.26,0.65
162.159.136.99,4,4,0.00,146.43,0.49
104.20.29.113,4,4,0.00,147.60,0.47
162.159.140.107,4,4,0.00,149.23,0.42
162.159.130.148,4,4,0.00,149.80,0.23
104.20.24.79,4,4,0.00,149.05,0.22
104.20.27.83,4,4,0.00,147.63,0.00
104.20.18.33,4,4,0.00,147.70,0.00
104.20.21.198,4,4,0.00,148.35,0.00
162.159.138.235,4,4,0.00,150.87,0.00
